country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Central African Republic,6.98,,,,,6.39,,,,,6.14,,,,,5.9,,,,,5.76,,,,,5.71,,,,,5.6,,,,,5.45,,,,,5.77,,,,,5.61,,,,,5.42,,,,,5.21,,,,,5,,,,,4.96,,,,,4.92,,,,,4.88,,,,,4.92,,,,,5.11,,,,,5.45,,,,,5.94,,,,,6.57,,,,,7.45,,,,,8.75,,,,,10.3,,,,,11.8,,,,,13.1,,,,,14.3,,,,,15.7,,,,,17.1,,,,,18.7,,,,,20.1
Chad,6.16,,,,,5.61,,,,,5.38,,,,,5.25,,,,,5.11,,,,,4.98,,,,,4.81,,,,,4.59,,,,,4.62,,,,,4.34,,,,,4.1,,,,,3.88,,,,,3.68,,,,,3.66,,,,,3.64,,,,,3.65,,,,,3.72,,,,,3.93,,,,,4.27,,,,,4.72,,,,,5.29,,,,,5.98,,,,,6.81,,,,,7.74,,,,,8.74,,,,,9.78,,,,,10.9,,,,,12,,,,,13.1,,,,,14.1,,,,,15.2
Chile,5.95,,,,,6.2,,,,,6.3,,,,,6.31,,,,,6.32,,,,,6.3,,,,,6.41,,,,,6.61,,,,,7.79,,,,,8.35,,,,,9.11,,,,,10.3,,,,,11.6,,,,,13.5,,,,,15.7,,,,,18.1,,,,,20.5,,,,,22.7,,,,,24.5,,,,,26.5,,,,,28.8,,,,,30.8,,,,,32.4,,,,,33.5,,,,,34.6,,,,,35.3,,,,,35.9,,,,,36.4,,,,,36.8,,,,,37.2,,,,,37.5
China,6.24,,,,,5.81,,,,,5.27,,,,,4.96,,,,,5.2,,,,,5.72,,,,,6.56,,,,,7.11,,,,,8.06,,,,,8.87,,,,,9.73,,,,,10.6,,,,,12,,,,,14.6,,,,,16.7,,,,,19.7,,,,,23.7,,,,,26.9,,,,,28.3,,,,,29.8,,,,,33.1,,,,,34.6,,,,,34.7,,,,,34.9,,,,,35.4,,,,,36.4,,,,,37.1,,,,,37.4,,,,,37.4,,,,,37.5,,,,,37.7
Colombia,4.3,,,,,4.17,,,,,4.25,,,,,4.38,,,,,4.49,,,,,4.64,,,,,4.71,,,,,4.85,,,,,5.52,,,,,5.81,,,,,6.24,,,,,6.92,,,,,8.14,,,,,9.89,,,,,11.9,,,,,14.3,,,,,16.8,,,,,18.7,,,,,20.7,,,,,23,,,,,25.3,,,,,27.4,,,,,29.1,,,,,30.8,,,,,32.2,,,,,33.2,,,,,34.1,,,,,34.7,,,,,35.1,,,,,35.4,,,,,35.7
Comoros,5.24,,,,,4.76,,,,,4.42,,,,,4.29,,,,,4.39,,,,,4.48,,,,,4.47,,,,,4.33,,,,,4.41,,,,,4.31,,,,,4.27,,,,,4.2,,,,,4.12,,,,,4.34,,,,,4.73,,,,,5.17,,,,,5.62,,,,,6.1,,,,,6.7,,,,,7.52,,,,,8.43,,,,,9.25,,,,,10,,,,,10.8,,,,,11.7,,,,,12.7,,,,,13.7,,,,,14.6,,,,,15.4,,,,,16.3,,,,,17.1
"Congo, Dem. Rep.",4.19,,,,,3.85,,,,,3.73,,,,,3.69,,,,,3.71,,,,,3.76,,,,,3.81,,,,,3.86,,,,,4.12,,,,,4.17,,,,,4.19,,,,,4.24,,,,,4.28,,,,,4.28,,,,,4.33,,,,,4.46,,,,,4.65,,,,,4.89,,,,,5.19,,,,,5.58,,,,,6.06,,,,,6.63,,,,,7.32,,,,,8.21,,,,,9.34,,,,,10.6,,,,,12,,,,,13.5,,,,,15,,,,,16.6,,,,,18.2
"Congo, Rep.",4.84,,,,,4.92,,,,,5.21,,,,,5.33,,,,,5.34,,,,,5.26,,,,,5.13,,,,,5.03,,,,,5.36,,,,,5.25,,,,,5.05,,,,,4.83,,,,,4.68,,,,,4.77,,,,,5,,,,,5.41,,,,,5.96,,,,,6.63,,,,,7.32,,,,,7.86,,,,,8.21,,,,,8.5,,,,,9.02,,,,,9.81,,,,,10.9,,,,,12.1,,,,,13.1,,,,,14.2,,,,,15.2,,,,,16.4,,,,,17.6
Costa Rica,4.44,,,,,4.43,,,,,4.43,,,,,4.57,,,,,4.88,,,,,5.3,,,,,5.44,,,,,5.62,,,,,6.61,,,,,7.1,,,,,7.81,,,,,8.91,,,,,10.5,,,,,12.1,,,,,14.3,,,,,17,,,,,19.4,,,,,21.3,,,,,23.6,,,,,26.3,,,,,29.1,,,,,31.6,,,,,33.7,,,,,35,,,,,36.2,,,,,37.1,,,,,37.8,,,,,38.1,,,,,38.4,,,,,38.6,,,,,38.8
Cote d'Ivoire,3.46,,,,,3.59,,,,,3.69,,,,,3.74,,,,,3.77,,,,,3.8,,,,,3.87,,,,,4.02,,,,,4.51,,,,,4.74,,,,,4.86,,,,,4.93,,,,,5.03,,,,,5.1,,,,,5.17,,,,,5.19,,,,,5.2,,,,,5.28,,,,,5.49,,,,,5.73,,,,,6.1,,,,,6.63,,,,,7.27,,,,,7.87,,,,,8.43,,,,,9.09,,,,,9.81,,,,,10.5,,,,,11.3,,,,,12,,,,,12.8
