country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
China,8.11,,,,,7.44,,,,,6.82,,,,,6.56,,,,,6.75,,,,,7.1,,,,,7.69,,,,,8.01,,,,,9.02,,,,,9.76,,,,,10.6,,,,,11.5,,,,,13.2,,,,,16.1,,,,,18.5,,,,,22,,,,,26.6,,,,,30.3,,,,,32,,,,,33.8,,,,,37.2,,,,,38.3,,,,,38,,,,,37.4,,,,,37.3,,,,,37.6,,,,,37.7,,,,,37.6,,,,,37.5,,,,,37.5,,,,,37.7
Colombia,5.49,,,,,5.22,,,,,5.23,,,,,5.22,,,,,5.29,,,,,5.46,,,,,5.52,,,,,5.74,,,,,6.72,,,,,7.07,,,,,7.58,,,,,8.36,,,,,9.78,,,,,11.8,,,,,14.1,,,,,16.8,,,,,19.7,,,,,21.9,,,,,24.4,,,,,27.1,,,,,29.5,,,,,31.8,,,,,33.6,,,,,35.3,,,,,36.7,,,,,37.7,,,,,38.4,,,,,38.9,,,,,39.2,,,,,39.4,,,,,39.5
Comoros,5.92,,,,,5.52,,,,,5.23,,,,,5.15,,,,,5.29,,,,,5.43,,,,,5.45,,,,,5.3,,,,,5.47,,,,,5.32,,,,,5.19,,,,,5.05,,,,,4.88,,,,,5.09,,,,,5.52,,,,,6.01,,,,,6.52,,,,,7.08,,,,,7.77,,,,,8.7,,,,,9.72,,,,,10.7,,,,,11.6,,,,,12.6,,,,,13.7,,,,,14.9,,,,,16.2,,,,,17.4,,,,,18.5,,,,,19.7,,,,,20.9
"Congo, Dem. Rep.",5.48,,,,,5.15,,,,,5.03,,,,,5.02,,,,,5.01,,,,,5.02,,,,,5.02,,,,,5,,,,,5.35,,,,,5.32,,,,,5.26,,,,,5.21,,,,,5.16,,,,,5.04,,,,,5.02,,,,,5.1,,,,,5.27,,,,,5.51,,,,,5.82,,,,,6.25,,,,,6.78,,,,,7.44,,,,,8.26,,,,,9.32,,,,,10.6,,,,,12.2,,,,,13.8,,,,,15.5,,,,,17.2,,,,,19,,,,,20.8
"Congo, Rep.",5.71,,,,,5.76,,,,,5.87,,,,,5.92,,,,,5.89,,,,,5.78,,,,,5.67,,,,,5.58,,,,,6.06,,,,,5.96,,,,,5.76,,,,,5.53,,,,,5.35,,,,,5.41,,,,,5.62,,,,,6,,,,,6.53,,,,,7.23,,,,,8.01,,,,,8.67,,,,,9.15,,,,,9.59,,,,,10.2,,,,,11.2,,,,,12.4,,,,,13.8,,,,,14.9,,,,,16.1,,,,,17.3,,,,,18.5,,,,,19.8
Costa Rica,4.65,,,,,4.61,,,,,4.58,,,,,4.69,,,,,4.96,,,,,5.39,,,,,5.69,,,,,6.08,,,,,7.53,,,,,8.14,,,,,8.87,,,,,9.99,,,,,11.6,,,,,13.5,,,,,16,,,,,19,,,,,21.7,,,,,23.9,,,,,26.3,,,,,29,,,,,31.8,,,,,34.3,,,,,36.3,,,,,37.6,,,,,38.8,,,,,39.7,,,,,40.4,,,,,40.8,,,,,41,,,,,41.2,,,,,41.3
Cote d'Ivoire,4.24,,,,,4.26,,,,,4.26,,,,,4.18,,,,,4.08,,,,,3.98,,,,,3.9,,,,,3.9,,,,,4.28,,,,,4.37,,,,,4.28,,,,,4.26,,,,,4.28,,,,,4.36,,,,,4.47,,,,,4.6,,,,,4.78,,,,,5.09,,,,,5.53,,,,,6,,,,,6.53,,,,,7.17,,,,,7.93,,,,,8.66,,,,,9.37,,,,,10.2,,,,,11,,,,,12,,,,,12.9,,,,,13.8,,,,,14.8
Croatia,11.1,,,,,10.6,,,,,11.5,,,,,13.2,,,,,15.2,,,,,16.2,,,,,15.5,,,,,16.5,,,,,20.7,,,,,23.4,,,,,25,,,,,25.3,,,,,27.1,,,,,29.1,,,,,31.3,,,,,33.2,,,,,34.5,,,,,35.9,,,,,37.4,,,,,38.8,,,,,39.8,,,,,40.1,,,,,40.7,,,,,40.4,,,,,40.8,,,,,41.1,,,,,41,,,,,40.8,,,,,40.6,,,,,40.5,,,,,40.6
Cuba,5.83,,,,,5.75,,,,,6.16,,,,,7.04,,,,,8.04,,,,,9.06,,,,,9.92,,,,,10.5,,,,,12.8,,,,,13.5,,,,,14.7,,,,,16.1,,,,,18,,,,,20.4,,,,,22.9,,,,,27.8,,,,,32.4,,,,,36.3,,,,,37.4,,,,,38.2,,,,,39.8,,,,,40.4,,,,,40.6,,,,,40.1,,,,,39.5,,,,,39.6,,,,,39.9,,,,,40.2,,,,,40.3,,,,,40.4,,,,,40.5
Cyprus,8.58,,,,,9.19,,,,,9.08,,,,,9.73,,,,,12.8,,,,,12.5,,,,,12.2,,,,,12.6,,,,,15,,,,,15.3,,,,,15.5,,,,,16.4,,,,,17.3,,,,,19,,,,,21.2,,,,,23.5,,,,,25.8,,,,,28,,,,,30.5,,,,,32.9,,,,,34.9,,,,,36.5,,,,,37.7,,,,,38.6,,,,,39.4,,,,,39.9,,,,,40.1,,,,,40.1,,,,,40,,,,,40,,,,,40.2
